# Job started on: Fri Jan 20 18:05:50 CET 2017 .....................................................................................................................................................................................
# FONLL heavy quark hadroproduction cross section, calculated on Fri Jan 20 18:35:52 CET 2017
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = J/psi from a single B. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(B->J/psi) = 0.0116
# ebeam1 = 2515, ebeam2 = 2515
# PDF set = CTEQ6.6
# ptmin = 5
# ptmax = 60
# ymin  = -2.4
# ymax  = 2.4
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
   9.9500 1.2331e+04 9.4625e+03 1.6510e+04 9.6466e+03 1.6379e+04 1.1598e+04 1.3108e+04 1.1635e+04 1.3015e+04
  10.0875 1.1704e+04 8.9957e+03 1.5642e+04 9.1675e+03 1.5521e+04 1.1018e+04 1.2424e+04 1.1049e+04 1.2354e+04
  10.2250 1.1113e+04 8.5568e+03 1.4836e+04 8.7162e+03 1.4720e+04 1.0471e+04 1.1797e+04 1.0498e+04 1.1728e+04
  10.3625 1.0558e+04 8.1403e+03 1.4075e+04 8.2894e+03 1.3966e+04 9.9563e+03 1.1200e+04 9.9783e+03 1.1140e+04
  10.5000 1.0036e+04 7.7476e+03 1.3360e+04 7.8880e+03 1.3259e+04 9.4691e+03 1.0638e+04 9.4876e+03 1.0585e+04
  10.6375 9.5433e+03 7.3772e+03 1.2681e+04 7.5087e+03 1.2586e+04 9.0097e+03 1.0109e+04 9.0260e+03 1.0062e+04
  10.7750 9.0782e+03 7.0269e+03 1.2049e+04 7.1502e+03 1.1960e+04 8.5770e+03 9.6106e+03 8.5886e+03 9.5677e+03
  10.9125 8.6397e+03 6.6956e+03 1.1446e+04 6.8115e+03 1.1362e+04 8.1676e+03 9.1396e+03 8.1768e+03 9.1025e+03
  11.0500 8.2256e+03 6.3822e+03 1.0881e+04 6.4914e+03 1.0802e+04 7.7801e+03 8.6965e+03 7.7871e+03 8.6629e+03
  11.1875 7.8335e+03 6.0861e+03 1.0347e+04 6.1886e+03 1.0273e+04 7.4136e+03 8.2766e+03 7.4194e+03 8.2476e+03
