0.1	2.05647
0.3	2.06577
0.5	2.05687
0.7	2.07928
0.9	2.08938
1.1	2.10724
1.3	2.1225
1.5	2.14658
1.7	2.17848
1.9	2.19108
2.1	2.20106
2.3	2.21696
2.5	2.20356
2.7	2.22538
2.9	2.21496
3.1	2.19825
3.3	2.19254
3.5	2.15432
3.7	2.14004
3.9	2.1009
4.1	2.07706
4.3	1.9686
4.5	1.98017
4.7	1.94152
4.9	1.88236
5.1	1.86116
5.3	1.77978
5.5	1.73841
5.7	1.66025
5.9	1.64539
6.1	1.60214
6.3	1.53851
6.5	1.5039
6.7	1.43228
6.9	1.39889
7.1	1.34701
7.3	1.29543
7.5	1.258
7.7	1.22318
7.9	1.18565
8.1	1.13231
8.3	1.10913
8.5	1.10122
8.7	1.05845
8.9	1.03812
9.1	1.0056
9.3	0.97328
9.5	0.94813
9.7	0.92509
9.9	0.91827
10.1	0.86314
10.3	0.87318
10.5	0.83002
10.7	0.817
10.9	0.81321
11.1	0.77996
11.3	0.76791
11.5	0.75576
11.7	0.73713
11.9	0.73195
12.1	0.70679
12.3	0.71669
12.5	0.69558
12.7	0.67384
12.9	0.66867
13.1	0.63893
13.3	0.63401
13.5	0.64073
13.7	0.61988
13.9	0.62995
14.1	0.63452
14.3	0.59413
14.5	0.59755
14.7	0.61014
14.9	0.60882
15.1	0.58839
15.3	0.594
15.5	0.57792
15.7	0.57025
15.9	0.58637
16.1	0.5814
16.3	0.56605
16.5	0.56608
16.7	0.5502
16.9	0.55333
17.1	0.56654
17.3	0.58307
17.5	0.56394
17.7	0.56162
17.9	0.53992
18.1	0.55264
18.3	0.55816
18.5	0.54516
18.7	0.55217
18.9	0.54253
19.1	0.54252
19.3	0.55061
19.5	0.55565
19.7	0.53417
19.9	0.55957
20.1	0.55249
20.3	0.55866
20.5	0.5438
20.7	0.54383
20.9	0.54818
21.1	0.55159
21.3	0.55456
21.5	0.55155
21.7	0.54409
21.9	0.55136
22.1	0.55618
22.3	0.54701
22.5	0.55032
22.7	0.54478
22.9	0.54403
23.1	0.55263
23.3	0.5372
23.5	0.53824
23.7	0.54159
23.9	0.55064
24.1	0.54298
24.3	0.53892
24.5	0.54288
24.7	0.54492
24.9	0.53521
25.1	0.55199
25.3	0.53913
25.5	0.53259
25.7	0.53554
25.9	0.53
26.1	0.52598
26.3	0.53263
26.5	0.53114
26.7	0.54015
26.9	0.52005
27.1	0.53636
27.3	0.53064
27.5	0.53054
27.7	0.54714
27.9	0.52528
28.1	0.52874
28.3	0.55313
28.5	0.51982
28.7	0.52035
28.9	0.51875
29.1	0.53075
29.3	0.50985
29.5	0.53277
29.7	0.51655
29.9	0.52598
