# Job started on: Wed Jan 25 15:49:32 CET 2017 ........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
# FONLL heavy quark hadroproduction cross section, calculated on Wed Jan 25 17:21:23 CET 2017
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = J/psi from a single B. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(B->J/psi) = 0.0116
# ebeam1 = 2515, ebeam2 = 2515
# PDF set = CTEQ6.6
# ptmin = 1
# ptmax = 300
# ymin  = -2.4
# ymax  = 2.4
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
   9.7500 1.3305e+04 1.0195e+04 1.7870e+04 1.0396e+04 1.7725e+04 1.2505e+04 1.4164e+04 1.2551e+04 1.4059e+04
  10.0000 1.2099e+04 9.2897e+03 1.6193e+04 9.4691e+03 1.6066e+04 1.1383e+04 1.2853e+04 1.1418e+04 1.2772e+04
  10.2500 1.1010e+04 8.4787e+03 1.4695e+04 8.6362e+03 1.4581e+04 1.0375e+04 1.1681e+04 1.0402e+04 1.1623e+04
  10.5000 1.0036e+04 7.7476e+03 1.3360e+04 7.8880e+03 1.3259e+04 9.4691e+03 1.0638e+04 9.4876e+03 1.0585e+04
  10.7500 9.1617e+03 7.0888e+03 1.2154e+04 7.2140e+03 1.2064e+04 8.6536e+03 9.6988e+03 8.6664e+03 9.6558e+03
  11.0000 8.3729e+03 6.4947e+03 1.1083e+04 6.6062e+03 1.1003e+04 7.9182e+03 8.8543e+03 7.9263e+03 8.8195e+03
  11.2500 7.6630e+03 5.9577e+03 1.0114e+04 6.0575e+03 1.0042e+04 7.2546e+03 8.0945e+03 7.2581e+03 8.0666e+03
  11.5000 7.0215e+03 5.4704e+03 9.2440e+03 5.5599e+03 9.1791e+03 6.6538e+03 7.4089e+03 6.6549e+03 7.3880e+03
  11.7500 6.4415e+03 5.0296e+03 8.4579e+03 5.1098e+03 8.3996e+03 6.1109e+03 6.7895e+03 6.1086e+03 6.7744e+03
  12.0000 5.9160e+03 4.6304e+03 7.7480e+03 4.7026e+03 7.6954e+03 5.6179e+03 6.2292e+03 5.6132e+03 6.2188e+03
  12.2500 5.4404e+03 4.2661e+03 7.1058e+03 4.3314e+03 7.0586e+03 5.1701e+03 5.7223e+03 5.1643e+03 5.7153e+03
  12.5000 5.0077e+03 3.9353e+03 6.5262e+03 3.9939e+03 6.4832e+03 4.7641e+03 5.2629e+03 4.7572e+03 5.2594e+03
  12.7500 4.6156e+03 3.6343e+03 5.9988e+03 3.6876e+03 5.9601e+03 4.3941e+03 4.8465e+03 4.3860e+03 4.8442e+03
  13.0000 4.2584e+03 3.3587e+03 5.5207e+03 3.4069e+03 5.4856e+03 4.0577e+03 4.4672e+03 4.0484e+03 4.4672e+03
  13.2500 3.9324e+03 3.1080e+03 5.0859e+03 3.1517e+03 5.0541e+03 3.7503e+03 4.1215e+03 3.7398e+03 4.1238e+03
  13.5000 3.6354e+03 2.8788e+03 4.6909e+03 2.9186e+03 4.6620e+03 3.4696e+03 3.8071e+03 3.4591e+03 3.8106e+03
  13.7500 3.3640e+03 2.6691e+03 4.3299e+03 2.7051e+03 4.3036e+03 3.2132e+03 3.5194e+03 3.2028e+03 3.5252e+03
  14.0000 3.1158e+03 2.4764e+03 4.0015e+03 2.5091e+03 3.9776e+03 2.9789e+03 3.2573e+03 2.9673e+03 3.2631e+03
  14.2500 2.8884e+03 2.3007e+03 3.7013e+03 2.3304e+03 3.6795e+03 2.7631e+03 3.0172e+03 2.7527e+03 3.0241e+03
  14.5000 2.6796e+03 2.1386e+03 3.4282e+03 2.1657e+03 3.4081e+03 2.5659e+03 2.7979e+03 2.5543e+03 2.8049e+03
  14.7500 2.4894e+03 1.9888e+03 3.1770e+03 2.0138e+03 3.1587e+03 2.3850e+03 2.5972e+03 2.3734e+03 2.6042e+03
  15.0000 2.3142e+03 1.8517e+03 2.9467e+03 1.8746e+03 2.9302e+03 2.2179e+03 2.4116e+03 2.2075e+03 2.4198e+03
  15.2500 2.1530e+03 1.7260e+03 2.7354e+03 1.7470e+03 2.7202e+03 2.0648e+03 2.2423e+03 2.0544e+03 2.2504e+03
  15.5000 2.0045e+03 1.6094e+03 2.5418e+03 1.6286e+03 2.5276e+03 1.9244e+03 2.0868e+03 1.9128e+03 2.0950e+03
  15.7500 1.8676e+03 1.5023e+03 2.3644e+03 1.5196e+03 2.3513e+03 1.7945e+03 1.9430e+03 1.7841e+03 1.9523e+03
  16.0000 1.7423e+03 1.4034e+03 2.2008e+03 1.4198e+03 2.1889e+03 1.6739e+03 1.8108e+03 1.6634e+03 1.8200e+03
  16.2500 1.6263e+03 1.3119e+03 2.0502e+03 1.3270e+03 2.0393e+03 1.5637e+03 1.6890e+03 1.5532e+03 1.6982e+03
  16.5000 1.5184e+03 1.2275e+03 1.9114e+03 1.2412e+03 1.9012e+03 1.4616e+03 1.5764e+03 1.4512e+03 1.5857e+03
  16.7500 1.4198e+03 1.1484e+03 1.7829e+03 1.1612e+03 1.7736e+03 1.3665e+03 1.4732e+03 1.3572e+03 1.4813e+03
  17.0000 1.3282e+03 1.0761e+03 1.6649e+03 1.0877e+03 1.6565e+03 1.2795e+03 1.3769e+03 1.2702e+03 1.3850e+03
  17.2500 1.2424e+03 1.0089e+03 1.5557e+03 1.0194e+03 1.5474e+03 1.1983e+03 1.2888e+03 1.1890e+03 1.2969e+03
  17.5000 1.1635e+03 9.4638e+02 1.4543e+03 9.5607e+02 1.4465e+03 1.1229e+03 1.2064e+03 1.1138e+03 1.2145e+03
  17.7500 1.0910e+03 8.8812e+02 1.3607e+03 8.9726e+02 1.3537e+03 1.0530e+03 1.1298e+03 1.0442e+03 1.1377e+03
  18.0000 1.0234e+03 8.3403e+02 1.2743e+03 8.4251e+02 1.2679e+03 9.8820e+02 1.0591e+03 9.7974e+02 1.0668e+03
  18.2500 9.6036e+02 7.8384e+02 1.1938e+03 7.9170e+02 1.1878e+03 9.2788e+02 9.9354e+02 9.1965e+02 1.0011e+03
  18.5000 9.0190e+02 7.3708e+02 1.1195e+03 7.4437e+02 1.1140e+03 8.7186e+02 9.3252e+02 8.6385e+02 9.3995e+02
  18.7500 8.4761e+02 6.9349e+02 1.0503e+03 7.0029e+02 1.0452e+03 8.1966e+02 8.7592e+02 8.1200e+02 8.8311e+02
  19.0000 7.9692e+02 6.5294e+02 9.8607e+02 6.5923e+02 9.8124e+02 7.7105e+02 8.2325e+02 7.6374e+02 8.3021e+02
  19.2500 7.4982e+02 6.1496e+02 9.2635e+02 6.2083e+02 9.2185e+02 7.2581e+02 7.7418e+02 7.1862e+02 7.8103e+02
  19.5000 7.0586e+02 5.7966e+02 8.7072e+02 5.8510e+02 8.6652e+02 6.8359e+02 7.2848e+02 6.7674e+02 7.3509e+02
  19.7500 6.6491e+02 5.4660e+02 8.1891e+02 5.5170e+02 8.1502e+02 6.4415e+02 6.8579e+02 6.3754e+02 6.9229e+02
  20.0000 6.2663e+02 5.1576e+02 7.7064e+02 5.2049e+02 7.6699e+02 6.0738e+02 6.4612e+02 6.0100e+02 6.5227e+02
  20.2500 5.9090e+02 4.8695e+02 7.2564e+02 4.9138e+02 7.2222e+02 5.7304e+02 6.0900e+02 5.6678e+02 6.1503e+02
  20.5000 5.5750e+02 4.5986e+02 6.8365e+02 4.6400e+02 6.8046e+02 5.4079e+02 5.7432e+02 5.3488e+02 5.8012e+02
  20.7500 5.2629e+02 4.3460e+02 6.4446e+02 4.3848e+02 6.4148e+02 5.1075e+02 5.4195e+02 5.0495e+02 5.4752e+02
  21.0000 4.9706e+02 4.1095e+02 6.0787e+02 4.1458e+02 6.0506e+02 4.8256e+02 5.1168e+02 4.7699e+02 5.1713e+02
  21.2500 4.6968e+02 3.8871e+02 5.7359e+02 3.9208e+02 5.7095e+02 4.5623e+02 4.8326e+02 4.5089e+02 4.8859e+02
  21.5000 4.4405e+02 3.6792e+02 5.4163e+02 3.7108e+02 5.3917e+02 4.3152e+02 4.5669e+02 4.2630e+02 4.6180e+02
  21.7500 4.2004e+02 3.4829e+02 5.1167e+02 3.5125e+02 5.0936e+02 4.0832e+02 4.3187e+02 4.0333e+02 4.3674e+02
  22.0000 3.9753e+02 3.2998e+02 4.8358e+02 3.3280e+02 4.8140e+02 3.8651e+02 4.0855e+02 3.8164e+02 4.1331e+02
  22.2500 3.7630e+02 3.1268e+02 4.5725e+02 3.1529e+02 4.5518e+02 3.6610e+02 3.8663e+02 3.6146e+02 3.9127e+02
  22.5000 3.5647e+02 2.9647e+02 4.3252e+02 2.9893e+02 4.3059e+02 3.4684e+02 3.6610e+02 3.4243e+02 3.7050e+02
  22.7500 3.3779e+02 2.8121e+02 4.0946e+02 2.8350e+02 4.0762e+02 3.2886e+02 3.4684e+02 3.2457e+02 3.5113e+02
  23.0000 3.2028e+02 2.6693e+02 3.8765e+02 2.6912e+02 3.8593e+02 3.1181e+02 3.2874e+02 3.0775e+02 3.3280e+02
  23.2500 3.0380e+02 2.5336e+02 3.6725e+02 2.5543e+02 3.6563e+02 2.9592e+02 3.1169e+02 2.9186e+02 3.1564e+02
  23.5000 2.8826e+02 2.4061e+02 3.4814e+02 2.4256e+02 3.4661e+02 2.8084e+02 2.9568e+02 2.7701e+02 2.9951e+02
  23.7500 2.7364e+02 2.2865e+02 3.3008e+02 2.3049e+02 3.2863e+02 2.6668e+02 2.8060e+02 2.6297e+02 2.8432e+02
  24.0000 2.5984e+02 2.1728e+02 3.1318e+02 2.1901e+02 3.1181e+02 2.5334e+02 2.6634e+02 2.4975e+02 2.6993e+02
  24.2500 2.4696e+02 2.0668e+02 2.9720e+02 2.0834e+02 2.9592e+02 2.4082e+02 2.5300e+02 2.3734e+02 2.5648e+02
  24.5000 2.3467e+02 1.9660e+02 2.8218e+02 1.9813e+02 2.8095e+02 2.2898e+02 2.4047e+02 2.2562e+02 2.4372e+02
  24.7500 2.2318e+02 1.8704e+02 2.6807e+02 1.8850e+02 2.6692e+02 2.1773e+02 2.2852e+02 2.1460e+02 2.3177e+02
  25.0000 2.1228e+02 1.7808e+02 2.5468e+02 1.7945e+02 2.5358e+02 2.0718e+02 2.1738e+02 2.0416e+02 2.2040e+02
  25.2500 2.0196e+02 1.6970e+02 2.4210e+02 1.7098e+02 2.4105e+02 1.9720e+02 2.0671e+02 1.9430e+02 2.0973e+02
  25.5000 1.9233e+02 1.6161e+02 2.3019e+02 1.6286e+02 2.2922e+02 1.8780e+02 1.9674e+02 1.8490e+02 1.9964e+02
  25.7500 1.8316e+02 1.5401e+02 2.1901e+02 1.5521e+02 2.1808e+02 1.7887e+02 1.8734e+02 1.7609e+02 1.9012e+02
  26.0000 1.7446e+02 1.4681e+02 2.0841e+02 1.4790e+02 2.0752e+02 1.7052e+02 1.7841e+02 1.6785e+02 1.8108e+02
  26.2500 1.6623e+02 1.4002e+02 1.9853e+02 1.4106e+02 1.9766e+02 1.6252e+02 1.7006e+02 1.5996e+02 1.7261e+02
  26.5000 1.5846e+02 1.3357e+02 1.8911e+02 1.3456e+02 1.8827e+02 1.5498e+02 1.6205e+02 1.5242e+02 1.6460e+02
  26.7500 1.5115e+02 1.2747e+02 1.8012e+02 1.2841e+02 1.7934e+02 1.4778e+02 1.5451e+02 1.4546e+02 1.5695e+02
  27.0000 1.4419e+02 1.2171e+02 1.7171e+02 1.2261e+02 1.7098e+02 1.4106e+02 1.4732e+02 1.3874e+02 1.4964e+02
  27.2500 1.3758e+02 1.1630e+02 1.6369e+02 1.1716e+02 1.6298e+02 1.3468e+02 1.4059e+02 1.3236e+02 1.4280e+02
  27.5000 1.3143e+02 1.1104e+02 1.5611e+02 1.1187e+02 1.5544e+02 1.2853e+02 1.3421e+02 1.2644e+02 1.3642e+02
  27.7500 1.2551e+02 1.0612e+02 1.4899e+02 1.0691e+02 1.4836e+02 1.2284e+02 1.2806e+02 1.2076e+02 1.3027e+02
  28.0000 1.1983e+02 1.0145e+02 1.4213e+02 1.0218e+02 1.4152e+02 1.1739e+02 1.2238e+02 1.1532e+02 1.2435e+02
  28.2500 1.1453e+02 9.6997e+01 1.3574e+02 9.7707e+01 1.3514e+02 1.1215e+02 1.1693e+02 1.1020e+02 1.1890e+02
  28.5000 1.0948e+02 9.2782e+01 1.2966e+02 9.3461e+01 1.2911e+02 1.0723e+02 1.1170e+02 1.0534e+02 1.1361e+02
