   5.0000 1.0919e+05 7.8884e+04 1.5548e+05 8.2348e+04 1.5289e+05 9.8206e+04 1.2168e+05 1.0040e+05 1.1797e+05
   5.2500 9.6582e+04 7.0029e+04 1.3716e+05 7.2929e+04 1.3502e+05 8.7197e+04 1.0715e+05 8.8995e+04 1.0416e+05
   5.5000 8.5469e+04 6.2207e+04 1.2103e+05 6.4635e+04 1.1925e+05 7.7453e+04 9.4470e+04 7.8926e+04 9.2011e+04
   5.7500 7.5702e+04 5.5296e+04 1.0685e+05 5.7339e+04 1.0535e+05 6.8834e+04 8.3381e+04 7.0041e+04 8.1374e+04
   6.0000 6.7129e+04 4.9208e+04 9.4466e+04 5.0936e+04 9.3206e+04 6.1225e+04 7.3695e+04 6.2222e+04 7.2048e+04
   6.2500 5.9601e+04 4.3834e+04 8.3611e+04 4.5298e+04 8.2546e+04 5.4520e+04 6.5238e+04 5.5332e+04 6.3870e+04
   6.5000 5.3000e+04 3.9099e+04 7.4107e+04 4.0345e+04 7.3208e+04 4.8616e+04 5.7838e+04 4.9277e+04 5.6712e+04
   6.7500 4.7189e+04 3.4938e+04 6.5786e+04 3.5995e+04 6.5018e+04 4.3407e+04 5.1365e+04 4.3952e+04 5.0437e+04
   7.0000 4.2085e+04 3.1261e+04 5.8482e+04 3.2167e+04 5.7826e+04 3.8802e+04 4.5692e+04 3.9254e+04 4.4927e+04
   7.2500 3.7596e+04 2.8013e+04 5.2080e+04 2.8791e+04 5.1516e+04 3.4742e+04 4.0728e+04 3.5113e+04 4.0090e+04
   7.5000 3.3640e+04 2.5141e+04 4.6444e+04 2.5810e+04 4.5959e+04 3.1158e+04 3.6354e+04 3.1459e+04 3.5832e+04
   7.7500 3.0148e+04 2.2597e+04 4.1494e+04 2.3177e+04 4.1076e+04 2.7979e+04 3.2515e+04 2.8223e+04 3.2074e+04
   8.0000 2.7063e+04 2.0358e+04 3.7135e+04 2.0857e+04 3.6772e+04 2.5172e+04 2.9128e+04 2.5369e+04 2.8768e+04
   8.2500 2.4337e+04 1.8356e+04 3.3283e+04 1.8792e+04 3.2967e+04 2.2666e+04 2.6146e+04 2.2840e+04 2.5845e+04
   8.5000 2.1924e+04 1.6576e+04 2.9890e+04 1.6959e+04 2.9615e+04 2.0451e+04 2.3513e+04 2.0590e+04 2.3258e+04
   8.7500 1.9778e+04 1.5000e+04 2.6873e+04 1.5335e+04 2.6634e+04 1.8479e+04 2.1170e+04 1.8595e+04 2.0961e+04
   9.0000 1.7876e+04 1.3588e+04 2.4211e+04 1.3885e+04 2.4000e+04 1.6727e+04 1.9105e+04 1.6808e+04 1.8931e+04
   9.2500 1.6170e+04 1.2330e+04 2.1843e+04 1.2586e+04 2.1657e+04 1.5161e+04 1.7261e+04 1.5231e+04 1.7110e+04
   9.5000 1.4662e+04 1.1201e+04 1.9741e+04 1.1431e+04 1.9581e+04 1.3758e+04 1.5614e+04 1.3816e+04 1.5498e+04
   9.7500 1.3305e+04 1.0195e+04 1.7870e+04 1.0396e+04 1.7725e+04 1.2505e+04 1.4164e+04 1.2551e+04 1.4059e+04
  10.0000 1.2099e+04 9.2897e+03 1.6193e+04 9.4691e+03 1.6066e+04 1.1383e+04 1.2853e+04 1.1418e+04 1.2772e+04
  10.2500 1.1010e+04 8.4787e+03 1.4695e+04 8.6362e+03 1.4581e+04 1.0375e+04 1.1681e+04 1.0402e+04 1.1623e+04
  10.5000 1.0036e+04 7.7476e+03 1.3360e+04 7.8880e+03 1.3259e+04 9.4691e+03 1.0638e+04 9.4876e+03 1.0585e+04
  10.7500 9.1617e+03 7.0888e+03 1.2154e+04 7.2140e+03 1.2064e+04 8.6536e+03 9.6988e+03 8.6664e+03 9.6558e+03
  11.0000 8.3729e+03 6.4947e+03 1.1083e+04 6.6062e+03 1.1003e+04 7.9182e+03 8.8543e+03 7.9263e+03 8.8195e+03
  11.2500 7.6630e+03 5.9577e+03 1.0114e+04 6.0575e+03 1.0042e+04 7.2546e+03 8.0945e+03 7.2581e+03 8.0666e+03
  11.5000 7.0215e+03 5.4704e+03 9.2440e+03 5.5599e+03 9.1791e+03 6.6538e+03 7.4089e+03 6.6549e+03 7.3880e+03
  11.7500 6.4415e+03 5.0296e+03 8.4579e+03 5.1098e+03 8.3996e+03 6.1109e+03 6.7895e+03 6.1086e+03 6.7744e+03
  12.0000 5.9160e+03 4.6304e+03 7.7480e+03 4.7026e+03 7.6954e+03 5.6179e+03 6.2292e+03 5.6132e+03 6.2188e+03
  12.2500 5.4404e+03 4.2661e+03 7.1058e+03 4.3314e+03 7.0586e+03 5.1701e+03 5.7223e+03 5.1643e+03 5.7153e+03
  12.5000 5.0077e+03 3.9353e+03 6.5262e+03 3.9939e+03 6.4832e+03 4.7641e+03 5.2629e+03 4.7572e+03 5.2594e+03
  12.7500 4.6156e+03 3.6343e+03 5.9988e+03 3.6876e+03 5.9601e+03 4.3941e+03 4.8465e+03 4.3860e+03 4.8442e+03
  13.0000 4.2584e+03 3.3587e+03 5.5207e+03 3.4069e+03 5.4856e+03 4.0577e+03 4.4672e+03 4.0484e+03 4.4672e+03
  13.2500 3.9324e+03 3.1080e+03 5.0859e+03 3.1517e+03 5.0541e+03 3.7503e+03 4.1215e+03 3.7398e+03 4.1238e+03
  13.5000 3.6354e+03 2.8788e+03 4.6909e+03 2.9186e+03 4.6620e+03 3.4696e+03 3.8071e+03 3.4591e+03 3.8106e+03
